,metric,method,truncation_mode,level,k,silhouette,DBscore
388,cosine,complete,lastp,4,9,0.33788401315933186,1.6129800329240391
389,cosine,complete,lastp,4,10,0.3362353474855458,1.6932411047831786
390,cosine,complete,level,2,6,0.3245102379544462,1.5817145081626922
391,cosine,complete,level,2,7,0.3220939894766148,1.5756532002057304
392,cosine,complete,level,2,8,0.3109457904767061,1.6748006851980617
393,cosine,complete,level,2,9,0.33788401315933186,1.6129800329240391
394,cosine,complete,level,2,10,0.3362353474855458,1.6932411047831786
395,cosine,complete,level,3,6,0.3245102379544462,1.5817145081626922
396,cosine,complete,level,3,7,0.3220939894766148,1.5756532002057304
397,cosine,complete,level,3,8,0.3109457904767061,1.6748006851980617
398,cosine,complete,level,3,9,0.33788401315933186,1.6129800329240391
399,cosine,complete,level,3,10,0.3362353474855458,1.6932411047831786
400,cosine,complete,level,4,6,0.3245102379544462,1.5817145081626922
401,cosine,complete,level,4,7,0.3220939894766148,1.5756532002057304
402,cosine,complete,level,4,8,0.3109457904767061,1.6748006851980617
403,cosine,complete,level,4,9,0.33788401315933186,1.6129800329240391
404,cosine,complete,level,4,10,0.3362353474855458,1.6932411047831786
405,cosine,single,,2,6,0.09309236435954871,0.6755306749425666
406,cosine,single,,2,7,0.06862654900110855,0.683481577710061
407,cosine,single,,2,8,0.056418810009027695,0.6957393167387418
408,cosine,single,,2,9,0.03227235073819052,0.6830796456520841
409,cosine,single,,2,10,0.019873872652081813,0.6812675730004802
410,cosine,single,,3,6,0.09309236435954871,0.6755306749425666
411,cosine,single,,3,7,0.06862654900110855,0.683481577710061
412,cosine,single,,3,8,0.056418810009027695,0.6957393167387418
413,cosine,single,,3,9,0.03227235073819052,0.6830796456520841
